date	CDU/CSU	SPD	Gr¸ne	FDP	Linke	AfD	CDU/CSU.E	SPD.E	keine.E	weiﬂ_nicht.E	CDU/CSU.W	SPD.W	keine.W	weiﬂ_nicht.W	CDU/CSU.S	SPD.S	GR‹NE.S	Linke.S	keine.S	weiﬂ_nicht.S
19.09.2013	40	27	9	6	9	4	46	19	16	14	39	25	11	17	26	39	3	6	10	15
18.10.2013	42	26	8	3	10	5	51	15	19	12	41	21	15	17	22	36	4	13	9	14
13.12.2013	42	25	9	4	10	4	47	12	21	15	38	19	16	21	20	37	5	13	11	12
21.02.2014	43	24	10	4	10	4	48	16	18	14	38	22	14	19	21	39	5	13	7	12
11.04.2014	41	25	10	4	10	4	47	14	20	15	35	24	16	19	22	37	5	12	12	11
09.05.2014	40	25	11	4	10	4	45	18	20	12	38	24	14	17	20	39	6	12	10	11
27.06.2014	39	25	11	3	9	6	46	16	19	13	36	23	14	19	20	38	5	10	10	13
22.08.2014	41	25	10	4	9	4	45	17	19	15	36	22	16	19	19	40	5	11	11	12
24.10.2014	41	26	9	3	8	7	45	15	22	15	33	21	18	20	20	34	6	11	12	14
12.12.2014	42	25	12	NA	8	6	49	14	21	12	39	21	16	14	22	35	1	11	11	12
27.02.2015	41	25	11	3	8	7	47	15	19	14	37	21	14	20	21	36	7	12	10	12
13.03.2015	43	24	10	3	9	6	48	13	18	16	38	21	15	18	21	36	6	11	9	14
17.04.2015	41	26	10	3	9	6	43	14	22	17	34	22	17	20	20	35	6	11	12	13
03.07.2015	41	26	11	4	9	4	47	13	22	12	37	23	13	18	22	33	6	13	11	12
21.08.2015	42	26	10	4	9	3	47	11	23	14	38	19	16	20	22	34	7	11	11	12
23.10.2015	39	25	10	5	9	6	45	13	20	17	37	20	14	20	21	34	7	12	10	13
11.12.2015	39	24	10	4	9	9	44	12	21	17	37	20	14	19	20	33	6	14	11	12
19.02.2016	36	25	10	5	9	10	41	14	20	19	33	24	13	22	18	34	5	12	12	15
08.04.2016	36	22	12	7	7	12	46	11	20	15	35	21	14	20	20	32	10	13	9	12
13.05.2016	33	21	14	7	8	13	39	10	24	18	28	19	17	23	14	30	8	15	14	14
12.08.2016	35	22	13	6	9	11	41	10	20	21	32	20	12	26	19	29	8	15	8	17
14.10.2016	34	22	12	5	10	13	40	15	19	19	37	21	12	20	21	31	8	16	8	12
11.11.2016	34	22	13	5	10	12	42	15	19	18	33	21	16	21	22	29	7	16	11	12
17.02.2017	34	30	9	6	7	10	35	24	17	17	26	34	12	21	16	48	4	11	7	12
07.07.2017	40	24	8	8	9	7	47	16	15	15	38	20	11	21	24	33	5	12	7	14
15.09.2017	36	23	8	10	9	10	49	17	12	13	38	25	11	15	22	36	4	15	7	10
