date	CDU/CSU	SPD	Grüne	FDP	Linke	AfD	CDU.S	SPD.S	Grüne_S	Linke_S	keine_S	weiß_nicht_S
27.09.2013	43	26	7	3	10	5	33	33	4	10	6	11
18.10.2013	42	26	8	3	10	5	22	36	4	13	9	14
08.11.2013	42	26	9	3	9	5	28	36	5	9	7	12
31.01.2014	43	25	10	4	9	4	27	39	6	9	6	10
28.03.2014	41	25	10	3	10	5	27	36	7	10	8	9
18.07.2014	41	24	11	3	9	5	27	36	5	10	8	10
26.09.2014	41	26	9	3	8	7	27	35	6	10	7	12
28.11.2014	41	26	11	3	8	6	28	34	5	9	9	11
30.01.2015	41	25	12	3	8	6	26	33	7	9	7	15
22.05.2015	40	26	11	4	9	5	24	35	7	10	8	13
24.07.2015	41	25	11	4	9	4	25	33	6	9	10	14
25.09.2015	41	26	10	4	9	5	23	35	6	8	9	15
27.11.2015	39	25	9	4	8	9	27	34	5	9	8	13
15.01.2016	37	24	10	5	8	11	27	29	7	10	8	12
18.03.2016	35	23	12	6	8	12	26	31	9	9	6	15
   03.06.2016	33	21	13	6	9	13	23	29	11	12	7	13
23.09.2016	33	22	13	5	10	13	21	32	9	13	7	13
11.11.2016	34	22	13	5	10	12	24	28	8	12	9	14
13.01.2017	36	21	10	6	9	13	27	28	6	12	7	14
10.03.2017	34	32	7	5	8	9	25	43	4	8	6	10
19.05.2017	38	27	7	8	9	7	28	32	4	10	8	13
11.08.2017	40	24	8	8	8	8	29	29	4	11	7	11
13.10.2017	31	21	11	11	10	12	23	32	8	13	6	10
